Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
17244277;538647;Postøižín;;;;;126209;Postøižín;418536;Okružní;è.p.;33;;;25070;743024.10;1026766.13;2014-02-28T00:00:00
17244285;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;34;;;25070;743093.00;1026742.81;2013-12-01T00:00:00
17244293;538647;Postøižín;;;;;126209;Postøižín;814431;Polní;è.p.;35;;;25070;742958.34;1026808.86;2013-12-01T00:00:00
17244307;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;36;;;25070;743202.22;1026808.83;2018-02-20T00:00:00
17244315;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;37;;;25070;743167.25;1026645.38;2013-12-01T00:00:00
17244323;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;38;;;25070;743081.50;1026693.38;2013-12-01T00:00:00
17244331;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;39;;;25070;743160.25;1026573.06;2013-12-01T00:00:00
17244340;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;40;;;25070;743098.38;1026812.19;2013-12-01T00:00:00
17244366;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;42;;;25070;743102.33;1026708.17;2013-12-01T00:00:00
17244374;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;43;;;25070;742949.61;1026769.02;2013-12-01T00:00:00
17244382;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;44;;;25070;742970.13;1026758.44;2013-12-01T00:00:00
17244391;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;45;;;25070;743213.44;1026772.44;2013-12-01T00:00:00
17244404;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;46;;;25070;743223.75;1026769.69;2013-12-01T00:00:00
17244412;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;47;;;25070;743138.00;1026794.09;2013-12-01T00:00:00
17244421;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;48;;;25070;743238.75;1026765.75;2013-12-01T00:00:00
17244439;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;49;;;25070;743251.56;1026762.44;2013-12-01T00:00:00
17244447;538647;Postøižín;;;;;126209;Postøižín;418544;Zahradní;è.p.;50;;;25070;742990.50;1026760.44;2013-12-01T00:00:00
17244455;538647;Postøižín;;;;;126209;Postøižín;418544;Zahradní;è.p.;51;;;25070;743010.00;1026783.94;2013-12-01T00:00:00
17244463;538647;Postøižín;;;;;126209;Postøižín;418498;Vinohradská;è.p.;52;;;25070;743329.25;1026876.00;2013-12-01T00:00:00
17244471;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;53;;;25070;743264.69;1026760.94;2013-12-01T00:00:00
17244480;538647;Postøižín;;;;;126209;Postøižín;418510;Teplická;è.p.;54;;;25070;743220.88;1026444.56;2013-12-01T00:00:00
17244501;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;56;;;25070;743299.63;1026755.88;2013-12-01T00:00:00
17244510;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;57;;;25070;743307.63;1026720.63;2013-12-01T00:00:00
17244528;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;58;;;25070;743300.44;1026783.94;2013-12-01T00:00:00
17244536;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;59;;;25070;743288.13;1026706.69;2013-12-01T00:00:00
17244544;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;60;;;25070;743331.69;1026744.38;2013-12-01T00:00:00
17244552;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;61;;;25070;743326.31;1026764.44;2013-12-01T00:00:00
17244561;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;62;;;25070;743283.13;1026737.06;2013-12-01T00:00:00
17244579;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;63;;;25070;743282.56;1026721.69;2013-12-01T00:00:00
17244587;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;64;;;25070;743333.00;1026726.44;2013-12-01T00:00:00
17244595;538647;Postøižín;;;;;126209;Postøižín;418528;U Høištì;è.p.;65;;;25070;743286.81;1026693.38;2013-12-01T00:00:00
17244609;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;66;;;25070;743379.19;1026813.25;2013-12-01T00:00:00
17244617;538647;Postøižín;;;;;126209;Postøižín;418498;Vinohradská;è.p.;67;;;25070;743350.06;1026799.44;2013-12-01T00:00:00
17244625;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;68;;;25070;743360.19;1026804.31;2013-12-01T00:00:00
17244633;538647;Postøižín;;;;;126209;Postøižín;418498;Vinohradská;è.p.;69;;;25070;743321.81;1026820.75;2013-12-01T00:00:00
17244641;538647;Postøižín;;;;;126209;Postøižín;418471;V Zátiší;è.p.;70;;;25070;743399.25;1026861.31;2013-12-01T00:00:00
17244650;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;71;;;25070;743446.35;1026887.47;2013-12-01T00:00:00
17244668;538647;Postøižín;;;;;126209;Postøižín;418471;V Zátiší;è.p.;72;;;25070;743385.06;1026839.69;2013-12-01T00:00:00
17244676;538647;Postøižín;;;;;126209;Postøižín;418471;V Zátiší;è.p.;73;;;25070;743408.00;1026825.00;2013-12-01T00:00:00
17244684;538647;Postøižín;;;;;126209;Postøižín;418471;V Zátiší;è.p.;74;;;25070;743379.75;1026862.69;2013-12-01T00:00:00
17244692;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;75;;;25070;743353.00;1026709.00;2013-12-01T00:00:00
17244706;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;76;;;25070;743407.25;1026758.00;2013-12-01T00:00:00
17244714;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;77;;;25070;743260.88;1026786.19;2013-12-01T00:00:00
17244722;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;78;;;25070;743372.00;1026755.06;2013-12-01T00:00:00
17244731;538647;Postøižín;;;;;126209;Postøižín;418552;Máslovická;è.p.;79;;;25070;743389.09;1026775.38;2013-12-01T00:00:00
17244749;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;80;;;25070;743118.13;1026599.19;2013-12-01T00:00:00
17244757;538647;Postøižín;;;;;126209;Postøižín;418544;Zahradní;è.p.;81;;;25070;742990.75;1026808.75;2013-12-01T00:00:00
17244765;538647;Postøižín;;;;;126209;Postøižín;418595;Úžická;è.p.;82;;;25070;743206.75;1026407.50;2013-12-01T00:00:00
17244773;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;83;;;25070;743355.19;1026775.63;2013-12-01T00:00:00
